Student_ID,Student_Name,Enrollment_Number,Grade_Level,Current_Semester,Academic_Year,Age,Section,Enrollment_Status,Admission_Date,Previous_Scores_Semester_Wise,Cumulative_GPA,Class_Participation_Score,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Data_Entry_Date
STU01000,Student_0001,2022-CS-01001,3,6,2022-2023,21,A,Active,2022-07-27,55|60|66|72,5.699999999999999,68,23,84,Low,High,No,7,73,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Near,Male,67,2025-12-03
STU01001,Student_0002,2023-CS-01002,2,4,2023-2024,20,A,Active,2023-06-27,52|66,5.1,55,19,64,Low,Medium,No,8,59,Low,Yes,2,Medium,Medium,Public,Negative,4,No,College,Moderate,Female,61,2025-12-03
STU01002,Student_0003,2020-CS-01003,4,7,2020-2021,24,C,Active,2020-07-19,59|63|68|66|75|69,6.4,90,24,98,Medium,Medium,Yes,7,91,Medium,Yes,2,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,74,2025-12-03
STU01003,Student_0004,2022-CS-01004,3,6,2022-2023,22,B,Active,2022-08-28,61|70|63|70,6.1,85,29,89,Low,Medium,Yes,8,98,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,71,2025-12-03
STU01004,Student_0005,2022-CS-01005,3,5,2022-2023,22,B,Active,2022-06-25,53|73|72|81,6.0,87,19,92,Medium,Medium,Yes,6,65,Medium,Yes,3,Medium,High,Public,Neutral,4,No,College,Near,Female,70,2025-12-03
STU01005,Student_0006,2023-CS-01006,2,3,2023-2024,21,C,On-Leave,2023-07-19,73|63,6.1,88,19,88,Medium,Medium,Yes,8,89,Medium,Yes,3,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Male,71,2025-12-03
STU01006,Student_0007,2020-CS-01007,4,8,2020-2021,22,D,Active,2020-07-17,58|52|66|55|57|56,5.699999999999999,58,29,84,Medium,Low,Yes,7,68,Low,Yes,1,Low,Medium,Private,Neutral,2,No,High School,Moderate,Male,67,2025-12-03
STU01007,Student_0008,2020-CS-01008,4,8,2020-2021,22,A,Active,2020-06-19,51|52|51|69|64|66,5.6000000000000005,74,25,78,Low,High,Yes,6,50,Medium,Yes,1,High,High,Public,Negative,2,No,High School,Far,Male,66,2025-12-03
STU01008,Student_0009,2022-CS-01009,3,5,2022-2023,24,C,Active,2022-06-11,68|64|61|58,5.8999999999999995,100,17,94,Medium,High,No,6,80,High,Yes,0,Medium,Low,Private,Neutral,1,No,College,Near,Male,69,2025-12-03
STU01009,Student_0010,2021-CS-01010,4,8,2021-2022,22,C,Active,2021-08-21,55|69|57|67|73|71,6.2,97,23,98,Medium,Medium,Yes,8,71,Medium,Yes,0,High,High,Public,Positive,5,No,High School,Moderate,Male,72,2025-12-03
STU01010,Student_0011,2022-CS-01011,3,6,2022-2023,21,D,Active,2022-07-11,61|65|65|74,5.8,79,17,80,Low,High,No,8,88,Medium,No,4,Medium,High,Private,Neutral,4,No,College,Moderate,Male,68,2025-12-03
STU01011,Student_0012,2022-CS-01012,3,6,2022-2023,21,D,Active,2022-06-03,57|66|57|58,6.1,71,17,97,Medium,High,Yes,6,87,Low,Yes,2,Low,High,Private,Neutral,2,No,High School,Near,Male,71,2025-12-03
STU01012,Student_0013,2022-CS-01013,3,6,2022-2023,22,B,Active,2022-07-27,61|66|74|80,6.0,63,21,83,Medium,Medium,Yes,8,97,Low,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Near,Male,70,2025-12-03
STU01013,Student_0014,2022-CS-01014,3,5,2022-2023,22,C,Active,2022-06-26,64|63|62|56,5.6000000000000005,86,9,82,Medium,Medium,Yes,8,72,Medium,Yes,2,Medium,Medium,Private,Positive,3,No,Postgraduate,Near,Male,66,2025-12-03
STU01014,Student_0015,2023-CS-01015,2,3,2023-2024,20,D,Active,2023-08-21,60|69,5.5,70,10,78,Medium,High,Yes,8,74,Medium,Yes,1,Low,Medium,Private,Neutral,4,No,Postgraduate,Near,Male,65,2025-12-03
STU01015,Student_0016,2020-CS-01016,4,7,2020-2021,23,A,Active,2020-07-03,56|47|59|60|61|61,5.4,74,17,68,Medium,Medium,No,8,70,Medium,Yes,2,Medium,Medium,Private,Positive,4,No,High School,Near,Female,64,2025-12-03
STU01016,Student_0017,2023-CS-01017,2,4,2023-2024,23,B,Active,2023-07-20,59|61,5.0,52,14,60,Medium,Low,Yes,10,65,Low,Yes,0,High,Medium,Private,Positive,3,No,College,Near,Male,60,2025-12-03
STU01017,Student_0018,2023-CS-01018,2,4,2023-2024,21,D,Active,2023-06-01,57|65,5.5,77,22,70,Low,Medium,Yes,6,82,Medium,Yes,1,Low,High,Public,Neutral,3,No,High School,Near,Female,65,2025-12-03
STU01018,Student_0019,2023-CS-01019,2,3,2023-2024,23,B,Active,2023-07-11,62|57,5.699999999999999,69,15,80,Medium,Medium,Yes,9,91,Low,Yes,3,Low,Medium,Public,Positive,2,No,College,Moderate,Female,67,2025-12-03
STU01019,Student_0020,2022-CS-01020,3,5,2022-2023,23,B,Active,2022-07-10,55|52|66|65,5.6000000000000005,81,12,75,Medium,High,Yes,7,58,Medium,Yes,3,Medium,Medium,Private,Positive,4,No,College,Near,Male,66,2025-12-03
STU01020,Student_0021,2021-CS-01021,4,7,2021-2022,22,A,Active,2021-08-28,55|66|61|55|62|75,5.8999999999999995,83,29,78,Medium,Medium,No,5,99,High,Yes,0,High,Medium,Public,Negative,1,No,High School,Moderate,Female,69,2025-12-03
STU01021,Student_0022,2020-CS-01022,4,7,2020-2021,23,A,Active,2020-06-26,56|63|67|68|80|64,6.2,100,19,99,Medium,High,No,6,84,Medium,Yes,1,Medium,High,Public,Neutral,3,No,High School,Near,Male,72,2025-12-03
STU01022,Student_0023,2021-CS-01023,4,8,2021-2022,25,D,Active,2021-07-06,48|50|56|65|56|69,5.6000000000000005,61,20,74,Medium,High,No,8,89,Low,Yes,1,Medium,Medium,Public,Negative,2,No,College,Moderate,Female,66,2025-12-03
STU01023,Student_0024,2023-CS-01024,2,3,2023-2024,22,B,Active,2023-07-18,62|58,5.6000000000000005,89,11,78,High,Medium,Yes,8,100,High,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Male,66,2025-12-03
STU01024,Student_0025,2023-CS-01025,2,4,2023-2024,22,A,Active,2023-07-27,50|53,5.300000000000001,61,17,65,Low,High,Yes,5,75,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Near,Female,63,2025-12-03
STU01025,Student_0026,2021-CS-01026,4,7,2021-2022,23,C,Active,2021-06-19,48|53|62|61|55|64,5.4,79,21,62,High,Low,Yes,6,54,High,Yes,0,High,High,Public,Positive,3,No,Postgraduate,Far,Male,64,2025-12-03
STU01026,Student_0027,2021-CS-01027,4,8,2021-2022,23,B,Active,2021-07-06,61|64|55|63|67|55,5.5,99,13,91,Low,Medium,No,6,90,Medium,Yes,1,High,Medium,Public,Negative,2,Yes,High School,Moderate,Female,65,2025-12-03
STU01027,Student_0028,2021-CS-01028,4,7,2021-2022,24,D,Active,2021-07-05,56|72|61|50|66|74,6.1,84,22,83,High,High,Yes,6,94,Medium,Yes,0,High,Medium,Public,Neutral,2,No,College,Moderate,Male,71,2025-12-03
STU01028,Student_0029,2023-CS-01029,2,3,2023-2024,20,C,Active,2023-07-20,62|67,5.6000000000000005,84,16,90,Medium,Medium,No,4,58,Medium,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Female,66,2025-12-03
STU01029,Student_0030,2023-CS-01030,2,3,2023-2024,20,B,Active,2023-06-17,64|60,5.4,64,18,66,High,High,No,4,51,Low,Yes,2,Low,Medium,Private,Neutral,2,No,College,Near,Male,64,2025-12-03
STU01030,Student_0031,2020-CS-01031,4,7,2020-2021,25,A,Active,2020-08-08,48|53|55|57|59|57,5.300000000000001,84,16,83,Low,Medium,No,6,57,Medium,Yes,0,High,Low,Public,Positive,4,Yes,High School,Near,Female,63,2025-12-03
STU01031,Student_0032,2020-CS-01032,4,7,2020-2021,22,B,Active,2020-08-03,60|61|54|61|65|64,5.8999999999999995,74,31,70,Medium,High,Yes,7,66,Medium,Yes,1,High,Medium,Public,Negative,3,No,College,Near,Male,69,2025-12-03
STU01032,Student_0033,2023-CS-01033,2,3,2023-2024,22,A,Active,2023-06-10,66|64,5.699999999999999,71,20,69,Medium,Medium,Yes,8,96,Medium,Yes,2,Medium,High,Public,Positive,3,No,High School,Near,Male,67,2025-12-03
STU01033,Student_0034,2021-CS-01034,4,8,2021-2022,24,A,Active,2021-08-19,49|48|43|44|59|60,5.1,65,14,60,High,Medium,No,5,50,Medium,Yes,2,Medium,Medium,Public,Neutral,3,No,College,,Female,61,2025-12-03
STU01034,Student_0035,2021-CS-01035,4,7,2021-2022,24,A,Active,2021-07-24,58|58|61|66|66|71,5.8,54,25,65,High,Medium,No,5,90,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,68,2025-12-03
STU01035,Student_0036,2020-CS-01036,4,7,2020-2021,22,C,Active,2020-07-08,49|49|53|50|55|59,5.1,58,13,72,Low,Medium,No,6,93,Low,Yes,1,Low,Medium,Public,Negative,3,No,High School,Near,Male,61,2025-12-03
